m,watermolal,watermolar,na+molal,na+molar,cl-molal,cl-molar,molefrac ion,,,
4.4,0.838225253,0.97136814,1.563411813,1.811742631,0.368455532,0.426980652,0.068533691,6.879011978,1.621204343,11.15228409
4.45,0.836232899,0.970568713,1.581412721,1.835457217,0.366891984,0.425830987,0.06920469,7.037286606,1.63266933,11.48956201
4.5,0.834239894,0.969761339,1.599600238,1.859453712,0.365339612,0.42468867,0.069873606,7.198201072,1.644028254,11.83404594
4.55,0.832246319,0.968946105,1.617975412,1.883734342,0.363798201,0.42355351,0.070540448,7.361788125,1.655281814,12.185834
4.6,0.830252251,0.968123098,1.636539298,1.908301356,0.362267544,0.422425325,0.071205226,7.52808077,1.666430701,12.54502491
4.65,0.828257765,0.967292406,1.65529296,1.933157018,0.360747441,0.421303941,0.071867948,7.697112265,1.677475601,12.91171802
4.7,0.826262938,0.966454115,1.674237473,1.958303613,0.359237701,0.42018919,0.072528626,7.868916125,1.688417194,13.28601328
4.75,0.824267845,0.965608311,1.69337392,1.983743442,0.357738138,0.419080911,0.073187267,8.043526121,1.699256154,13.66801126
4.8,0.822272558,0.964755078,1.712703392,2.009478825,0.356248573,0.41797895,0.073843882,8.220976281,1.709993152,14.05781314
4.85,0.820277153,0.963894502,1.732226988,2.0355121,0.354768835,0.416883158,0.074498479,8.401300892,1.720628851,14.4555207
4.9,0.818281699,0.963026666,1.751945816,2.061845621,0.353298757,0.415793393,0.075151069,8.584534499,1.73116391,14.86123631
4.95,0.816286269,0.962151654,1.771860991,2.088481759,0.351838178,0.414709518,0.07580166,8.770711906,1.741598983,15.27506294
5,0.814290932,0.961269549,1.791973636,2.115422904,0.350386944,0.413631402,0.076450261,8.959868178,1.751934721,15.69710416
5.05,0.812295759,0.960380434,1.81228488,2.142671459,0.348944905,0.412558917,0.077096883,9.152038642,1.762171768,16.12746411
5.1,0.810300817,0.95948439,1.83279586,2.170229847,0.347511915,0.411491943,0.077741532,9.347258885,1.772310765,16.56624755
5.15,0.808306173,0.958581499,1.85350772,2.198100506,0.346087835,0.410430362,0.07838422,9.545564757,1.78235235,17.01355978
5.2,0.806311896,0.957671841,1.87442161,2.226285888,0.34467253,0.409374062,0.079024954,9.746992372,1.792297154,17.46950669
5.25,0.804318049,0.956755498,1.895538687,2.254788465,0.343265868,0.408322935,0.079663743,9.951578105,1.802145807,17.93419475
5.3,0.8023247,0.955832548,1.916860113,2.283610721,0.341867723,0.407276876,0.080300597,10.1593586,1.811898933,18.40773101
5.35,0.80033191,0.954903071,1.938387057,2.312755158,0.340477973,0.406235785,0.080935524,10.37037076,1.821557154,18.89022304
5.4,0.798339745,0.953967146,1.960120695,2.342224292,0.339096498,0.405199566,0.081568533,10.58465175,1.831121088,19.38177903
5.45,0.796348266,0.95302485,1.982062206,2.372020656,0.337723183,0.404168125,0.082199632,10.80223902,1.840591347,19.88250768
5.5,0.794357535,0.952076262,2.004212777,2.402146797,0.336357917,0.403141374,0.08282883,11.02317027,1.849968543,20.39251826
5.55,0.792367613,0.951121458,2.026573599,2.432605276,0.335000592,0.402119226,0.083456137,11.24748348,1.859253284,20.91192059
5.6,0.79037856,0.950160515,2.049145869,2.463398671,0.333651102,0.401101598,0.084081559,11.47521687,1.868446173,21.44082504
5.65,0.788390434,0.949193508,2.071930789,2.494529575,0.332309347,0.400088409,0.084705106,11.70640896,1.87754781,21.9793425
5.7,0.786403295,0.948220514,2.094929566,2.526000593,0.330975227,0.399079584,0.085326787,11.94109852,1.886558794,22.52758443
5.75,0.784417199,0.947241606,2.11814341,2.557814347,0.329648647,0.398075047,0.085946608,12.17932461,1.895479719,23.08566279
